ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,2nd Round,3,Labadze I.,Moya C.,90,7,2,6,6,1,6,3,,,,,2,1,Completed,5.5,1.125,6,1.13,5.2,1.15,3.8,1.15,7.47,1.125
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Chela J.I.,Hewitt L.,34,9,6,3,4,6,6,1,,,,,2,1,Completed,5.5,1.125,5.6,1.16,5.15,1.15,3.8,1.15,6.25,1.148
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Haas T.,Costa A.,882,25,7,6,3,6,6,3,,,,,2,1,Completed,1.615,2.2,1.77,2.1,1.75,2,1.75,1.75,1.794,2.1
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Coria G.,Mirnyi M.,4,29,6,4,7,5,,,,,,,2,0,Completed,1.667,2.1,1.73,2.15,1.65,2.15,1.55,2,1.8,2.09
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Fish M.,Novak J.,19,17,6,3,6,4,,,,,,,2,0,Completed,2,1.727,2,1.83,1.9,1.85,1.85,1.65,1.99,1.87
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Blake J.,Gaudio G.,39,35,3,6,6,2,6,3,,,,,2,1,Completed,1.533,2.375,1.53,2.55,1.5,2.45,1.45,2.2,1.585,2.53
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Federer R.,Gonzalez F.,1,27,6,3,6,2,,,,,,,2,0,Completed,1.125,5.5,1.15,5.75,1.12,5.55,1.15,3.8,1.138,6.75
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Henman T.,Corretja A.,10,98,6,4,6,4,,,,,,,2,0,Completed,1.222,4,1.25,4.1,1.25,3.7,1.25,3,1.27,4.1
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Youzhny M.,Horna L.,51,61,7,6,6,2,,,,,,,2,0,Completed,1.4,2.75,1.5,2.65,1.45,2.65,1.3,2.7,1.546,2.65
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Calleri A.,Nadal R.,23,36,6,4,3,6,7,6,,,,,2,1,Completed,2.1,1.667,2,1.83,1.95,1.8,1.9,1.6,1.99,1.87
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,3rd Round,3,Roddick A.,Safin M.,3,32,7,6,6,2,,,,,,,2,0,Completed,1.533,2.375,1.53,2.55,1.5,2.5,1.45,2.2,1.532,2.68
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,3rd Round,3,Arthurs W.,Bjorkman J.,128,30,4,6,6,2,6,3,,,,,2,1,Completed,2.375,1.533,2.65,1.5,2.5,1.5,2.2,1.45,2.75,1.5
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,3rd Round,3,Grosjean S.,Sluiter R.,14,81,6,7,6,4,6,4,,,,,2,1,Completed,1.444,2.625,1.45,2.85,1.4,2.8,1.3,2.7,1.426,3.05
18,Indian Wells,Pacific Life Open,16/03/04,Masters,Outdoor,Hard,3rd Round,3,Escude N.,Spadea V.,77,22,3,6,6,4,7,6,,,,,2,1,Completed,1.8,1.909,1.7,2.2,1.75,2,1.75,1.75,1.855,2.01
