ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
29;Madrid;Mutua Madrid Open;06/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Davydenko N.;Karlovic I.;54;60;7,0;6,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,53;2,37;;;;;;;;;;;1,6;2,25;1,63;2,46;825,0;760,0;;;1,53;2,38;1,57;2,25;1,65;2,53;1,59;2,31
29;Madrid;Mutua Madrid Open;06/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Anderson K.;Bogomolov A.;35;42;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,18;4,5;;;;;;;;;;;1,2;4,25;1,2;5,23;1170,0;996,0;;;1,17;4,5;1,17;4,5;1,22;5,23;1,19;4,53
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Troicki V.;Young D.;30;50;6,0;1,0;4,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,18;4,5;;;;;;;;;;;1,2;4,25;1,23;4,77;1220,0;846,0;;;1,29;3,5;1,25;3,5;1,29;4,77;1,22;4,11
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Youzhny M.;Marti J.;34;173;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,25;3,75;;;;;;;;;;;1,3;3,3;1,33;3,66;1175,0;298,0;;;1,29;3,5;1,25;3,75;1,36;3,75;1,3;3,45
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Harrison R.;Stakhovsky S.;61;82;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;2,25;1,57;;;;;;;;;;;2,15;1,65;2,2;1,75;757,0;630,0;;;2,2;1,62;2,1;1,73;2,31;1,75;2,18;1,66
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Almagro N.;Giraldo S.;13;53;6,0;7,0;6,0;3,0;6,0;3,0;;;;;2,0;1,0;Completed;1,22;4,0;;;;;;;;;;;1,25;3,64;1,29;3,97;2255,0;828,0;;;1,22;4,0;1,22;4,0;1,29;4,4;1,25;3,82
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Falla A.;Chela J.I.;56;36;6,0;3,0;2,0;6,0;6,0;2,0;;;;;2,0;1,0;Completed;1,57;2,25;;;;;;;;;;;1,65;2,15;1,77;2,18;789,0;1165,0;;;1,62;2,2;1,62;2,2;1,77;2,38;1,66;2,16
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Gimeno-Traver D.;Hanescu V.;137;103;7,0;6,0;4,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;2,2;1,61;;;;;;;;;;;2,15;1,65;2,2;1,75;399,0;514,0;;;2,2;1,62;2,2;1,62;2,35;1,76;2,19;1,65
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Andreev I.;Ferrero J.C.;77;49;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,61;2,2;;;;;;;;;;;1,6;2,25;1,77;2,18;637,0;870,0;;;1,73;2,0;1,8;2,0;1,8;2,35;1,69;2,12
29;Madrid;Mutua Madrid Open;07/05/2012;Masters 1000;Outdoor;Clay;1st Round;3;Garcia-Lopez G.;Baghdatis M.;94;41;6,0;4,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;1,8;1,9;;;;;;;;;;;1,85;1,9;1,84;2,08;576,0;1025,0;;;1,8;1,91;1,91;1,83;1,91;2,08;1,83;1,92
