ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Coria G.;Gambill J.M.;25,0;15,0;7,0;5,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,4;2,75;1,45;2,3;1,4;2,3;1,5;2,5;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Corretja A.;Moya C.;11,0;23,0;5,0;7,0;7,0;5,0;6,0;1,0;;;;;2,0;1,0;Completed;2,4;1,5;2,05;1,55;1,9;1,6;2,375;1,533;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Diaz J.;Puerta M.;118,0;68,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Enqvist T.;Pozzi G.;14,0;59,0;6,0;2,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,28;3,3;1,15;4,25;1,2;3,2;1,286;3,25;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Federer R.;Johansson T.;18,0;24,0;7,0;6,0;4,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;1,4;2,7;1,35;2,6;1,35;2,5;1,4;2,75;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Ferreira W.;Hrbaty D.;19,0;17,0;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;2,65;1,42;2,15;1,5;2,3;1,4;2,625;1,444;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Ferrero J.C.;Schalken S.;9,0;30,0;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,3;3,2;1,3;2,85;1,3;2,7;1,286;3,25;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Grosjean S.;Ilie A.;13,0;60,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,45;2,6;1,4;2,4;1,45;2,2;1,444;2,625;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Haas T.;Medvedev A.;22,0;61,0;7,0;5,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,5;2,45;1,45;2,3;1,5;2,1;1,5;2,5;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Henman T.;Costa A.;10,0;38,0;6,0;2,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;1,9;1,8;1,75;1,8;1,75;1,75;1,833;1,833;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Hewitt L.;Ulihrach B.;7,0;40,0;6,0;1,0;2,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;1,42;2,65;1,4;2,45;1,4;2,3;1,4;2,75;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Kafelnikov Y.;Pavel A.;6,0;20,0;7,0;5,0;3,0;1,0;;;;;;;1,0;0,0;Retired;1,67;2,1;1,55;2,05;1,6;1,9;1,667;2,1;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Kiefer N.;Pioline C.;37,0;39,0;6,0;3,0;6,0;0,0;;;;;;;2,0;0,0;Completed;1,95;1,75;1,95;1,6;2,0;1,55;2,0;1,727;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Kuerten G.;Ljubicic I.;1,0;74,0;6,0;7,0;7,0;5,0;6,0;4,0;;;;;2,0;1,0;Completed;1,2;4,2;1,15;3,9;1,15;3,8;1,167;4,5;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Lapentti N.;Gaudio G.;41,0;36,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,95;1,75;1,9;1,65;1,75;1,75;2,25;1,571;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Levy H.;Sampras P.;54,0;4,0;7,0;5,0;2,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;3,0;1,35;3,0;1,25;3,0;1,25;2,875;1,364;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Luzzi F.;Clement A.;146,0;12,0;6,0;2,0;1,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Mantilla F.;Navarra M.;79,0;212,0;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;1,14;5,0;1,1;4,5;1,1;4,5;;;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Portas A.;Escude N.;45,0;34,0;7,0;6,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,67;2,05;;;1,55;2,0;1,667;2,1;;;;;;;;;;;;;;;;;;;;
