ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Svarc L.,58,250,7,5,4,6,7,6,6,4,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Siemerink J.,Schalken S.,106,27,2,6,6,3,6,4,3,6,6,3,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Squillari F.,Sanchez D.,14,85,6,3,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Tabara M.,Gaudenzi A.,69,102,3,6,6,4,6,4,5,7,6,4,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Ulihrach B.,Voltchkov V.,57,37,4,6,7,5,6,3,6,2,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Vinciguerra A.,Voinea A.,52,114,7,6,6,3,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Woodruff C.,Gambill J.M.,68,32,6,3,4,6,4,6,7,5,6,3,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Diaz J.,113,115,6,1,6,1,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Zabaleta M.,Woodbridge T.,62,179,6,4,6,2,5,7,2,6,6,4,3,2,Completed,,,,,,,,
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,2nd Round,5,Agassi A.,Goldstein P.,6,80,6,1,6,3,6,1,,,,,3,0,Completed,1.05,8,1.05,6,1.05,4,1.07,7
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,2nd Round,5,Arthurs W.,Heuberger I.,82,234,6,3,3,6,6,3,3,6,6,1,3,2,Completed,1.33,3,1.33,2.65,1.3,2.4,1.33,3
